Data,Judet,UAT,Metoda de interventie,Sex,Detalii referitoare la eveniment,Echipa de interventie,FC,Judet_relocare,lat,long,event_type,status_log,Nr_raport,Nr_identificare
,Arges,CICĂNEŞTI,Alungat,Mascul,"Apel telefonic  prin care se semnala prezența unui urs  în gospodaria sa,  din com. Cicanesti, din care ursul  i-a  luat o suina. Echipa de interventie impreuna cu vecinii au patrulat in zona si la aprox.400 m de gospodărie au gasit suina in stare de agonie, ursul nemaifiind vazut in zona.","Jandarmerie, Reprezentant primărie",VALEA DANULUI 6,,45.246160,24.605750,alungare,swapped,,
,Brașov,BRAŞOV,Alungat,,"Urmare a apelului la 112 prin care se semnala prezența unui urs pe str.Fundătura Hărmanului, nr.1bis din mun.Brașov, echipa de intervenție a luat decizia de alungare în zona împădurită din cartierul Tractorul, folosindu-se semnale acustice și luminoase.","Reprezentant UAT, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,45.667710,25.633604,alungare,swapped,111264,
,Brașov,BRAŞOV,Alungat,,"Urmare a apelului la 112 echipa de interventie a alungat ursul din zona strazilor: Automotoarelor, O.Goga, Codrii Cosminului, T.Vladimirescu, Independentei. Alungarea s-a facut in zona culturilor agrcole limitrofe intravilanului. Echipa a ramas o perioada mai indelungata in zona pentru a preintampina o posibila revenire.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant Gestionar fond cinegetic",TIMIS 18,,45.667776,25.593548,alungare,swapped,111381,
,Brașov,BRAŞOV,Altele,,"Echipa de interventie a urmarit capturarea unui exemplar de urs in zona Rulmentu, mun.Brasov, dar acesta nu si-a facut aparitia in zona unde a fost amplasta cusca.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6517059902,25.6011289212,alungare,,113145,
2023-07-21,Prahova,ŞTEFEŞTI,Alungat,Mascul,Mascul de 5 ani alungat cu mijloace luminoase si acustice,"Jandarmerie, reprezentant UAT,  personal GFC",PALTINET 35,,45.149629,25.533309,alungare,swapped,2469/21.07.2023,
2023-07-31,Prahova,SINAIA,Alungat,Mascul,"Exemplar de 3-4 ani care vine des in intravilan, a intrat in gospodarie, a rupt gardul si un bransament electric, alungat cu mijloace acustice si luminoase","Jandarmerie, primar,  Personal GFC, medic veterinar",SINAIA 25,,45.212199,25.311475,alungare,swapped,19243/31.07.2023,
2023-08-02,Prahova,ŞTEFEŞTI,Alungat,Mascul,Mascul de 4 ani alungat din gospodarie,"Jandarmerie, reprezentant UAT,  personal GFC",PALTINET 35,,45.143514,25.541094,alungare,swapped,2594/02.08.2023,
2023-08-03,Prahova,MĂNECIU,Alungat,,"Exemplarul a facut pagube materiale in gospodarie si a omorat pasari, echipa nu a mai gasit ursul la fata locului, s-au facut verificari, s-au folosit mijloace acustice","Jandarmerie, reprezentant UAT, Personal GFC, medic veterinar",BASCA FARA CALE 29,,45.313298,25.987336,alungare,swapped,12232/03.08.2023,
2023-08-05,Brașov,BRAŞOV,Relocat,Femela cu pui,"ca urmare a convocării echipei de interventie a fost capturata o ursoaică cu 3 pui din zona Poiana Brașov si relocata pe FC 40 Sebes, jud. Brasov.(acord relocare 5633/05.07.2023)","Reprezentant primărie, reprezentant IJJ, GFC, medic veterinar",SEBES 40,,45.597017,25.559835,relocare,,114787/05.08.2023,642090003724421; 642090003724438; 642090003724439; 642090003724431
2023-08-07,Vâlcea,BĂLILEŞTI,Alungat,,La fața locului echipa de intervenție nu a gasit exemplarul de urs văzut de apelant. A fost realizată patrulare cu semnale sonore.,"Jandarmerie, Primărie",ANINOASA 17,,45.062441,24.939802,alungare,,6839/07.08.2023,
2023-08-04,Neamt,PIPIRIG,Alungat,,Alungare cu mijloace sonore,"viceprimar UAT Pipirig, medic vet. , paznic vanatoare AVPS Zimbru, persoana apelant",FC,,47.2443554473,26.0652785484,alungare,,12594/04.08.2023 ora 4.30,
2023-08-05,Harghita,PRAID,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii zona Centrului Wellnes prin mijloace acustice si luminoase.,"Personal jandarmerie, reprezentant UAT",IUHOD 38,,46.549500,25.117270,alungare,,fn/05.08.2023,
2023-08-03,Prahova,SINAIA,Alungat,Mascul,"Exemplar de 3 ani care se retrage la vederea oamenilor, alungat cu mijloace acustice si luminoase","Jandarmerie, primar,  Personal GFC, medic veterinar",SINAIA 25,,45.212218,25.335560,alungare,swapped,19761/03.08.2023,
2023-08-04,Prahova,ŞTEFEŞTI,Alungat,Mascul,Mascul de 5 ani alungat in urma unui apel la 112,"Jandarmerie, reprezentant UAT,  personal GFC",PALTINET 35,,45.143514,25.541094,alungare,swapped,2636/04.08.2023,
2023-08-07,Prahova,IZVOARELE,Alungat,,"Exemplarul de urs nu a mai fost gasit in gospodarie, a rupt gardul si a incercat sa intre in cotetul de pasari, s-au folosit mijloace acustice si luminoase, s-a monitorizat zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",TELEAJEN 27,,45.287489,25.956192,alungare,swapped,7481/07.08.2023,
2023-08-07,Prahova,IZVOARELE,Alungat,,"Exemplarul de urs nu a mai fost gasit in livada, s-au folosit mijloace acustice si luminoase, s-a monitorizat zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",SLON 30,,45.257836,25.034927,alungare,swapped,7480/07.08.2023,
2023-08-07,Prahova,SINAIA,Alungat,Mascul,Exemplar de 3 ani  alungat cu mijloace acustice si luminoase,"Jandarmerie, primar,  Personal GFC, medic veterinar",SINAIA 25,,45.212769,25.325247,alungare,swapped,20027/07.08.2023,
2023-07-22,Harghita,CORBU,Relocat,Femela,"Exemplarul de urs care a intrat in mod regulat in intravilanul localitatii a fost capturat cu capcana tip cusca, a fost tranchilizat si eliberat intr-o zona indepartata.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",BORSEC 6,,46.978950,25.652111,relocare,,25.65211,
2023-08-07,Prahova,SINAIA,Alungat,Mascul,Exemplar de 3-4 ani  alungat cu mijloace acustice si luminoase,"Jandarmerie, primar,  Personal GFC, medic veterinar",SINAIA 25,,45.211628,25.331874,alungare,swapped,20033/07.08.2023,
2023-08-07,Prahova,MĂNECIU,Alungat,,"Exemplarul de urs plecase din zona locuintelor, pe drumul forestier, s-au folosit mijloace acustice si luminoase, s-a monitorizat zona","Jandarmerie, reprezentant UAT, Personal GFC, medic veterinar",TELEAJEN 27,,45.490811,25.933392,alungare,swapped,18359/07.08.2023,
,Harghita,PRAID,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii zona Centrului Wellnes prin mijloace acustice si luminoase.,"Personal jandarmerie, reprezentant UAT",IUHOD 38,,46.550010,25.118700,alungare,,,
2023-08-07,Prahova,IZVOARELE,Alungat,,"Exemplarul de urs nu a mai fost gasit in gospodarie, s-au folosit mijloace acustice si luminoase, s-a monitorizat zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",TELEAJEN 27,,45.278312,26.006784,alungare,swapped,7482/07.08.2023,
2023-08-04,Neamt,PIPIRIG,Alungat,,S-a intervenit la ora 3 noaptea si s-a alungat un exemplar de urs folosind mijloace sonore,"paznic vanatoare AVPS Zimbru, medic vet., viceprimar UAT Pipirig",FC,,47.2443554473,26.0652785484,alungare,,12596/04.08.2023,
2023-08-04,Harghita,CORBU,Împușcare,Mascul,Echipa a fost convocata la o gaspadarie unde ursul a facut pagube la animale domestice. Fiind faptul ca animalul nu s-a retras la incercarile de alungare si s-a manifestat agresiv fata de echipa s-a deciz extragerea acestuia prin impuscare.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",,,46.9914198872,25.6846966699,alungare,,,
2023-08-04,Harghita,CORBU,Împușcare,Mascul,Echipa a fost convocata la o gaspadarie unde ursul a facut pagube la animale domestice. Fiind faptul ca animalul nu s-a retras la incercarile de alungare si s-a manifestat agresiv fata de echipa s-a deciz extragerea acestuia prin impuscare.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",BORSEC 6,,46.980100,25.696612,impuscare,,3441/04.08.2023,
2023-07-27,Harghita,CORUND,Alungat,,In urma apelului 112 echipa a deplasat la ferma din satul Valea lui Pavel unde ursul a atacat si a ranit un vitel. Proprietarul a reusit alungarea animalului pana la sosirea echipei.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",CORUND 39,,46.505210,25.214500,alungare,,fn/27.07.2023,
2023-07-26,Harghita,CORUND,Alungat,,"Echipa de interventie a efectuat alungarea unui exemplar de urs care a produs pagube in intravilanul localitatii, prin mijloace acustice si luminoase.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",,,46.505210,25.214500,alungare,,fn/26.07.2023,
2023-08-05,Neamt,PIPIRIG,Alungat,,Alungare prin mijloace sonore,"plt.jandarmerie, plt.jandarmerie, viceprimar UAT Pipirig, paznic vanatoare AVPS Zimbru, medic vet., persoana pagubita, persoana apelant",FC,,47.2443554473,26.0652785484,alungare,,12607/05.08.2023 ora 1.50,
2023-07-23,Harghita,LĂZAREA,Împușcare,Mascul,Exemplarul de urs care nu s-a retras in urma semnalelor luminoase si acustice si s-a manifestat agresiv fata de echipa de interventie a fost extras prin impuscare l apostata din apropierea satului.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.,",,,46.7459908746,25.5363558269,alungare,,,
2023-07-23,Harghita,LĂZAREA,Împușcare,Mascul,Exemplarul de urs care nu s-a retras in urma semnalelor luminoase si acustice si s-a manifestat agresiv fata de echipa de interventie a fost extras prin impuscare l apostata din apropierea satului.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.,",GHEORGHENI 10,,46.795550,25.561110,impuscare,,4516/23.07.2023,"RO0727995, RO0727994"
2023-08-05,Neamt,POIANA TEIULUI,Împușcare,Femela,"In urma apelului la 112, in dimineata zilei de 05.08.2023 ora 6.36, s-a intervenit pentru eliberarea unui urs agatat in gard . S-a tranchilizat animalul iar in momentul eliberarii a atacat brusc si rapid paznicul de vanatoare, ranindu-l.  Paznicul de vanatoare a executat doua focuri de arma asupra ursului, impuscandu-l. Victima a fost preluata de echipaj SMURD.","Primar UAT Poiana Teiului, plt.jandarmerie, paznic vanatoare AJVPS Neamt, medic vet., posesor arma tranzhilizare, paznic vanatoare, persoana apelant",DREPTU 19,,47.1158988081,25.9236439631,alungare,,,
2023-08-05,Neamt,POIANA TEIULUI,Împușcare,Femela,"In urma apelului la 112, in dimineata zilei de 05.08.2023 ora 6.36, s-a intervenit pentru eliberarea unui urs agatat in gard . S-a tranchilizat animalul iar in momentul eliberarii a atacat brusc si rapid paznicul de vanatoare, ranindu-l.  Paznicul de vanatoare a executat doua focuri de arma asupra ursului, impuscandu-l. Victima a fost preluata de echipaj SMURD.","Primar UAT Poiana Teiului, plt.jandarmerie, paznic vanatoare AJVPS Neamt, medic vet., posesor arma tranzhilizare, paznic vanatoare, persoana apelant",DREPTU 19,,47.134393,25.892772,impuscare,swapped,4136/05.08.2023,
2023-07-22,Harghita,LĂZAREA,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs prin mijloace acustice si luminoase. Ursul a produs mai multe pagube in aceaasta locatie.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,46.795550,25.561110,alungare,,4515/22.07.2023,
2023-07-21,Harghita,LĂZAREA,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs prin mijloace acustice si luminoase. Ursul a produs mai multe pagube in aceasta locatie.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,46.795550,25.561110,alungare,swapped,4514/21.07.2023,
2023-08-08,Neamt,PIPIRIG,Alungat,,Alungare exemplar de urs,"plt.jandarmerie, viceprimar UAT Pipirig, paznic vanatoare AVPS Zimbru, medic vet., apelant",FC,,47.2443554473,26.0652785484,alungare,,12693/08.08.2023 ora 2.10,
,Bistrita-Nasaud,ŞIEUŢ,Alungat,,La locul intervenției s-au folosit semnalele acustice și luminoase ale autospecialei și a fost izolată zona. Exemplarul de urs nu a mai fost văzut.,"Plt. IJJ B-N, Viceprimar comuna Șieuț, Personal Tehnic al Gestionarului AVPS Călimanii Șieu",SIEUT 29,,46.9770289543,24.6490887268,alungare,,,
2023-08-09,Neamt,PIPIRIG,Alungat,,S-a apelat 112 si s-a anuntat prezenta unui urs.,"plt.adj jandarmerie, viceprimar UAT Pipirig, plt.adj.jandarmerie, paznic vanatoare AVPS Zimbru Tg Nt., medic vet., apelant",FC,,47.2443554473,26.0652785484,alungare,,12748/09.08.2023,
,Brașov,PREDEAL,Alungat,,"Echipa de intervenție se afla in intravilan oraș Predeal unde a fost amplasată o cușcă în vederea capturării unei ursoaice cu pui. A apărut un exempar de urs, tineret care a fost alungat folosindu-se gloanțe de cauciuc.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,45.509999,25.586892,alungare,,12612,
2023-06-12,Sibiu,PORUMBACU DE JOS,Împușcare,Femela,"În jurul orei 00,15 a fost semnalat ursul în intravilan, într-o gospodărie unde a produs și alte pagube. După alungare, tranchilizare, fara rezultat, a fost luată decizia de împușcare, ursul devenind agresiv.","Jandarmerie, Primar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.708810,24.471984,alungare,,12,
,Sibiu,PORUMBACU DE JOS,Împușcare,Femela,"În jurul orei 00,15 a fost semnalat ursul în intravilan, într-o gospodărie unde a produs și alte pagube. După alungare, tranchilizare, fara rezultat, a fost luată decizia de împușcare, ursul devenind agresiv.","Jandarmerie, Primar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.7588203968,24.4589170282,impuscare,,,
,Sibiu,PORUMBACU DE JOS,Alungat,,Urs alungat din intravilanul localității,"Jandarmerie, Primar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.710072,24.473869,alungare,,13,
,Sibiu,PORUMBACU DE JOS,Alungat,Mascul,Urs alungat din intravilan,"Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.710190,24.473762,alungare,,14,
,Sibiu,PORUMBACU DE JOS,Alungat,Mascul,Urs alungat din intravilan,"Jandarmerie, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.697027,24.498958,alungare,,15,
,Sibiu,PORUMBACU DE JOS,Alungat,,2 ursi alungati din intravilan,"Poliție, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.699170,24.492500,alungare,,16,
,Sibiu,PORUMBACU DE JOS,Alungat,Femela cu pui,Alungare din intravilan,"Poliție, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.748879,24.537299,alungare,,17,
,Sibiu,PORUMBACU DE JOS,Alungat,Mascul,Alungare,"Poliție, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.694080,24.497268,alungare,,18,
2023-08-21,Sibiu,PORUMBACU DE JOS,Relocat,Mascul,Tranchilizare - relocare,"Jandarmerie, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.694573,24.497221,relocare,,19,RO1618995597
,Sibiu,PORUMBACU DE JOS,Alungat,Mascul,Alungare,"Poliție, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.688773,24.508899,alungare,,20,
,Sibiu,PORUMBACU DE JOS,Alungat,,Alungare,"Poliție, Viceprimar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.713927,24.462874,alungare,,21,
,Sibiu,PORUMBACU DE JOS,Alungat,Mascul,alungare,"Jandarmerie, Primar, Medic Veterinar, Personal GFC",PORUMBACU 5,,45.707738,24.471078,alungare,,22,
,Brașov,PREDEAL,Eutanasiat,Femela,Echipa de interventie a luat decizia de capturare si eutanasiere a exemplarului de urs care a patruns in numeroase gospodarii din zona Cioplea.,"Repezentant UAT, Reprezentant Jandarmerie, Medic veterinar, Reprezentant Gestionar Fond Cinegetic",TIMIS 18,,45.505834,25.588438,eutanasiere,,12696,642090003724425
2023-08-08,Bacau,MĂNĂSTIREA CAŞIN,Alungat,Mascul,"In urma apelului la 112 s-a constituit echipa de interventie care s-a deplasat in zona  Dealul Carpinis unde se afla o persoana, care a fost atacata de urs in momentul in care a vrut sa intervina pentru salvarea unui berbec. Ursul i-a provocat rani persoanei . Acesta a fost preluat de SMURD.","SMURD, UAT - Viceprimar, gestionar ,  medic veterinar",CASINU INFERIOR 22,,46.1525844752,26.6931833013,alungare,,7507/08.08.2023,
,Brașov,PREDEAL,Alungat,,"Ca urmare a convocarii echipei de interventie in vederea capturarii si eutanasierii unei ursoaice cu un pui si predarea in custodie a puiului catre Asociatia Milioane de Prieteni , in zona de capturare a fost observat un exemplar de urs brun adult ce a fost alungat.","Reprezentant UAT Predeal, Reprezentant jandarmerie, Medic Veterinar, Reprezentant Gestionar Fond Cinegetic",TIMIS 18,,45.509902,25.589257,alungare,,12.804,
,Brașov,PREDEAL,Alungat,,"Ca urmare a convocarii echipei de interventie in vederea capturarii altor exemplare de urs din zona Cioplea, ursul de cca 2 ani a fost alungat cu ajutorul semnalelor luminoase si acustice, dar la scurt timp a revenit in zona.","Reprezentant UAT Predeal, Reprezentant Jandarmerie, Medic Veterinar, Reprezentant Gestionar Fond Cinegetic",TIMIS 18,,45.509804,25.588233,alungare,,12.805,
,Brașov,PREDEAL,Alungat,,"Ca urmare a convocarii echipei de interventie in vederea capturarii altor exemplare de urs din zona Cioplea, ursul de cca 2 ani a fost alungat cu ajutorul semnalelor luminoase si acustice, dar la scurt timp a revenit in zona.","Reprezentant UAT Predeal, Reprezentant Jandarmerie, Medic Veterinar, Reprezentant Gestionar Fond Cinegetic",TIMIS 18,,45.509804,25.588233,alungare,,12.805,
,Brașov,PREDEAL,Eutanasiat,Femela cu pui,"Ca urmare a numeroaselor imobile sparte de ursoaica cu un pui din zona Cioplea, a fost luata decizia de capturare si eutanasiere a acesteia si predarea in custodie a puiului catre Asociatia Milioane de Prieteni","Reprezentant UAT Predeal, Reprezentant Jandarmerie, Medic Veterinar, Reprezentant Gestionar Fond cinegetic",TIMIS 18,,45.509811,25.588470,eutanasiere,,12.806,642090003724441
2023-08-11,Hunedoara,PETROŞANI,Alungat,Femela cu pui,"Apel telefonic al unei persoane de sex feminin - Neag Rozalia, prin care semnala prezența unui pui de urs și a unei ursoaice, pe str. Slătinioara nr. 78 , punând în pericol siguranța și securitatea acesteia. Ursoaica a alergat după femeie dar apoi s-a indepărtat când aceasta a făcut gălăgie. Nu se menționeaza in raport cum a intervenit echipa de interventie. S-a considerat că nivelul de risc a fost unul mediu.",Petrosani,PETROSANI 66,,45.415323,23.387936,alungare,,6933/11.08.2023,
2023-08-11,Bacău,CĂIUŢI,Alungat,Mascul,Ursul a fost alungat cu ajutorul mijloacelor acustice .,"Jandarmerie, UAT - Primar, Gestionar",BALCA 50,,46.1805695981,26.9257131065,alungare,,11744/11.08.2023,
,Buzău,GURA TEGHII,Alungat,,"A fost semnalata în data de 04.08.2023-ora 1, prezenta unei ursoaice cu doi pui in curtea d-nei Grigore Viorica si s-a parcurs la alungarea acestor animale salbatice.","IJJ Buzau, reprezentant UAT Comuna Gura Teghii, persoana pagubita",PALTINIS CASOCA 35,,45.516812,26.439233,alungare,swapped,,
,Buzău,GURA TEGHII,Alungat,,"In jurul orei 7 a fost apel 112 pentru sesizarea prezentei unui urs in gospodaria  d-lui Constantin Alexandru, zona Varlaam. Echipa de interventie a parcurs la alungarea animalului salbatic.","IJJ Buzau, reprezentant UAT Gura Teghii, gestionarul FC- AV Vulturul Buzoian, persoana pagubită",PALTINIS CASOCA 35,,45.505231,26.439440,alungare,swapped,,
,Buzău,GURA TEGHII,Alungat,,"In data de 06.08.2023, ora 1, un urs a atacat cotetul gainilor d-nei B Felicia. Echipa de interventie a alungat animalul salbatic din curtea doamnei.","IJJ Buzau, reprezentant UAT Comuna Gura Teghii, persoana pagubita B. Felicia, reprezentant AVPS Interagro Bucuresti.",BASCA MARE 36,,45.418310,26.308170,alungare,swapped,,
,Buzău,GURA TEGHII,Alungat,,Apel la 112 care semnaleaza prezenta unui urs in gospodaria d-nei Calin Ileana. Animalul salbatic a fost alungat din zona.,"Reprezentant IJJ Buzau, reprezentat UAT Gura Teghii, persoana pagubita Calin I, reprezentant AV Vulturul Buzoian.",PALTINIS CASOCA 35,,45.4869646228,26.4257666251,alungare,,,
2023-08-10,Prahova,SINAIA,Relocat,Femela,"Exemplar de 3 ani care vine des in intravilan, prins cu cusca, tranchilizat, microcipat, crotaliat cu PHURS021, relocat pe acelasi fc","Jandarmerie, primar,  Personal GFC, medic veterinar",SINAIA 25,,45.384865,25.605669,relocare,swapped,20521/11.08.2023,PHURS021
2023-08-16,Prahova,MĂNECIU,Alungat,,"Exemplar aflat in  curte, a plecat pana la sosirea echipei, alungat cu mijloace acustice si luminoase, zona a fost monitorizata","Jandarmerie, reprezentant UAT, Personal GFC",TELEAJEN 27,,45.960762,25.939817,alungare,swapped,12676/16.08.2023,
2023-08-12,Prahova,PLOIEŞTI,Alungat,,"Urs semnalat prin apel 112 in intravilanul orasului Ploiesti, dupa verificari a reiesit ca nu se afla in zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.953454,26.032393,alungare,swapped,4336/12.08.2023,
2023-08-12,Prahova,PLOIEŞTI,Alungat,,"Urs semnalat prin apel 112 in intravilanul orasului Ploiesti, dupa verificari, inclusiv supraveghere cu drona, a reiesit ca nu se afla in zona, nu s-au gasit nici urme proaspete","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.959175,26.021193,alungare,swapped,4335/12.08.2023,
2023-08-16,Prahova,MĂNECIU,Alungat,,"Exemplar aflat in zona de parcare pe DN 1A, alungat cu mijloace acustice si luminoase, zona a fost monitorizata","Jandarmerie, reprezentant UAT, Personal GFC, medic veterinar",TELEAJEN 27,,45.334204,25.968207,alungare,swapped,12677/16.08.2023,
2023-08-13,Prahova,PLOIEŞTI,Alungat,,"Echipa s-a intrunit la solicitarea primarului, dupa verificari a reiesit ca nu se afla in zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.959175,26.021193,alungare,swapped,4337/13.08.2023,
2023-08-14,Prahova,PLOIEŞTI,Alungat,,"Echipa s-a intrunit la solicitarea primarului, dupa primirea unei fotografii cu un urs, dupa verificari nu s-a dovedit ca se afla in zona","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.942717,26.053571,alungare,swapped,4338/14.08.2023,
2023-08-18,Vrancea,DUMITRIŢA,Alungat,,La sosirea echipei de intervenție ursul nu a mai fost observat în zonă. S-au folosit petarde pentru alungarea ursului în cazul în care se afla în apropiere,"reprezentanti Primărie, I.J.J. Bistrița-Năsăud, gestionar fond cinegetic",BUDAC 27,,47.065640,24.688835,alungare,swapped,10222-18.08.2023,
2023-08-18,Prahova,IZVOARELE,Alungat,Mascul,"Mascul de 4 ani aflat in gospodarie, suit intr-un mar, alungat cu mijloace acustice","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",TELEAJEN 27,,46.283703,25.959893,alungare,swapped,7760/18.08.2023,
2023-08-21,Prahova,VĂLENII DE MUNTE,Alungat,Mascul,Mascul de 3 ani alungat cu mijloace acustice si luminoase,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",NUCET 33,,45.180306,26.059838,alungare,swapped,18500/21.08.2023,
2023-08-18,Prahova,PLOIEŞTI,Alungat,,"Exemplar de circa 3 ani, semnalat in zona Bucov-liziera de pe raul Teleajen, alungat cu mijloace acustice si luminoase","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.963356,26.058605,alungare,swapped,2548/18.08.2023,
2023-08-21,Prahova,BLEJOI,Alungat,,Exemplar de 3 ani alungat cu mijloace acustice,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",PAULESTI 1,,44.988244,26.013616,alungare,swapped,15822/21.08.2023,
2023-08-21,Prahova,BOLDEŞTI-SCĂENI,Alungat,,Exemplar  alungat cu mijloace acustice si luminoase,"Jandarmerie, reprezentant UAT, Personal GFC",BERCENI 2,,45.044654,26.040632,alungare,swapped,14974/21.08.2023,
2023-08-21,Prahova,PLOIEŞTI,Relocat,Mascul,"Mascul de circa 2 ani prezent in incinta rafinariei, tranchilizat si relocat tot in jud. Prahova, pe fc 29 Basca fara Cale, gestionar AJVPS Prahova","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BERCENI 2,,44.952055,26.086633,relocare,swapped,2565/21.08.2023,PH URS 001
,Arges,SĂLĂTRUCU,Alungat,Mascul,Echipa de intervenție nu a găsit ursul în zona sesizată. s-a procedat la patrulare cu semnale acustice și luminoase.,"Jandarmerie, Primărie, Gestionar Fond Cinegetic",SUICI 2,,45.191758,24.305107,alungare,,,
,Argeș,LEREŞTI,Alungat,,Echipa de intervenție nu a gasit exemplarul de urs în zona transmisă. Nu au fost produse pagube. S-a procedat la patrulare cu semnale acustice și luminoase.,"Jandarmerie, Primărie, Gestionar Fond Cinegetic",RAUL TARGULUI 18,,45.320653,25.073352,alungare,,,
2023-08-18,Bacau,GHIMEŞ-FĂGET,Alungat,,"A fost semnalata prezenta unui exemplar de urs in intravilanul localitatii, in curtea numitului Focze Zsolt Antal.","Jandarmerie, UAT Ghimes Faget - Viceprimar, Gestionar - AVPS Bukk,Medic veterinar",GHIMES 1,,46.5889071345,26.0534937553,alungare,stereo70,11876/18.08.2023,
,Buzău,BECENI,Alungat,,"A fost semnalata prezenta unui urs prin apel 112, in satul Carpinistea. Echipa de interventie a alungat ursul din sat. Au fost omorati 6 iezi si un miel a fost disparut.","Echipa IJJ Buzău, reprezentant UAT Beceni, paznic de vanatoare AJVPS Buzau, persoana păgubită.",BECENI 41,,45.353650,26.767400,alungare,swapped,,
,Buzău,BECENI,Alungat,,"A fost semnalată prezenta unui urs in sat Valea Parului, prin apelul 112. Echipa de interventie s-a deplasat dar nu a mai gasit ursul in zona.","IJJ Buzau, reprezentantul primariei Beceni, persoana pagubita .",BECENI 41,,45.368641,26.768740,alungare,swapped,,
,Buzău,NEHOIU,Alungat,,"Apelantul a sesizat ca in zona Poduluise afla un urs. Ajunsa la fata locului , echipa nu a mai gasit ursul pentru a face alungare.","Reprezentant IJJ Buzau, reprezentant UAT Nehoiu",VALEA NEHOIULUI 32,,45.464660,26.337998,alungare,swapped,,
,Brașov,BRAŞOV,Alungat,Femela cu pui,Urmare a observării pe str.plopilor din mun.Brașov a unei ursoaice cu tri pui având crotali la ureche echipa de intervenție a decis alungarea acesteia și a puilor în zona împădurită din apropiere folosindu-se semnale acustice și luminoase.,"Reprezentant UAT, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,45.620815,25.617416,alungare,,121793,
,Brașov,BRAŞOV,Altele,Mascul,"In mun.Brasov, str Gladiolelor , nr 4, la caminul de persoane varstnice a fost instalata cusca pt capturarea unui exemplar de urs care aparea in zona. A fost observat, insa nu a intrat in cusca.","Reprez UAT, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6517059902,25.6011289212,altele,,,
,Vrancea,CÂMPURI,Alungat,,exemplarul din specia urs a atacat doua exemplare de suine in gospodarie,"reprezentant UAT, personal din cadrul IJJ Vrancea, reprezentant gestionar fond cinegetic, medic veterinar imputernicit",CAMPURI 23,,46.0153513235,26.788018439,alungare,,5108,
